Temperature (°C),Humidity (%),Moisture (%),Soil Type,Crop Type,Nitrogen (ppm),Phosphorus (ppm),Potassium (ppm),pH,Rainfall (mm),Pest Level,Recommended Fertilizer,Dosage (kg/acre),Apply_After_Days,Expected Yield (q/ha)
33.9,37,68,Red,Wheat,129,28,59,5.4,329,Medium,NPK,67.8,10,76.4
31.6,40,49,Clayey,Rice,93,64,40,6.9,101,High,Urea,68.9,18,70.3
33.1,74,67,Sandy,Cotton,124,69,82,6.0,348,Low,Potash,41.1,22,109.7
22.3,52,44,Black,Soybean,51,60,64,6.0,193,Low,MOP,31.2,19,94.3
27.9,44,23,Black,Wheat,76,67,38,5.9,95,Medium,DAP,56.4,8,77.5
24.4,74,23,Clayey,Maize,123,59,70,5.9,215,High,10-26-26,48.2,9,82.1
28.2,73,39,Sandy,Groundnut,84,37,70,7.9,242,Low,MOP,35.4,16,105.5
21.7,48,32,Clayey,Tomato,76,50,49,5.8,145,High,Potash,39.0,22,64.1
35.5,66,42,Red,Soybean,126,52,74,6.8,147,Low,14-35-14,37.3,12,92.8
27.5,79,26,Clayey,Wheat,99,65,96,7.8,332,Low,DAP,57.0,16,115.1
37.2,69,26,Sandy,Sugarcane,95,50,99,7.2,201,Medium,Urea,83.9,22,105.9
35.9,76,24,Red,Soybean,125,53,52,6.6,73,Medium,14-35-14,39.4,13,110.2
27.1,43,41,Sandy,Soybean,110,38,75,6.9,109,Medium,14-35-14,38.8,11,85.0
32.4,87,40,Sandy,Pulses,71,46,95,7.3,201,High,DAP,66.1,9,80.4
27.3,83,25,Clayey,Cotton,61,45,31,5.5,311,Medium,NPK,66.3,27,79.9
34.2,56,41,Black,Pulses,109,24,67,6.5,282,Medium,10-26-26,46.6,12,100.6
30.8,44,68,Clayey,Tomato,121,41,75,5.5,129,Low,Potash,32.4,27,101.1
26.1,48,29,Sandy,Wheat,87,26,58,5.4,271,Medium,Urea,88.7,9,81.7
37.3,43,33,Clayey,Maize,80,41,42,8.0,121,Medium,10-26-26,40.2,12,90.5
23.9,42,32,Red,Wheat,77,26,41,5.8,164,Low,NPK,53.9,17,78.8
22.8,61,23,Red,Wheat,53,63,72,5.3,297,High,NPK,70.9,8,83.7
31.9,50,32,Sandy,Maize,130,69,43,6.4,221,Low,NPK,52.9,19,100.7
26.5,38,63,Sandy,Groundnut,113,57,32,7.6,58,Medium,MOP,30.9,19,94.0
24.6,84,40,Black,Cotton,103,25,32,6.9,310,Low,Potash,42.0,27,90.6
22.6,50,42,Loamy,Maize,53,36,43,5.7,207,Medium,NPK,51.7,16,91.3
22.4,58,32,Black,Wheat,105,67,54,7.7,311,High,DAP,69.9,15,69.7
34.1,61,60,Black,Soybean,95,76,45,7.4,67,Low,MOP,31.1,14,86.9
30.3,89,41,Black,Soybean,72,66,90,7.6,331,Low,MOP,40.3,14,79.4
28.7,39,36,Clayey,Rice,105,70,75,5.3,247,Medium,Urea,78.7,8,104.5
28.0,43,30,Loamy,Sugarcane,122,25,45,7.2,79,Low,Urea,56.5,29,69.7
35.3,89,29,Black,Groundnut,123,43,64,6.3,150,Medium,DAP,61.9,17,85.7
38.0,59,30,Clayey,Tomato,151,68,59,6.2,275,Medium,Potash,44.0,20,105.5
29.7,42,28,Black,Tomato,160,44,83,6.5,144,Medium,NPK,50.0,22,74.5
28.4,75,62,Loamy,Cotton,137,69,55,6.6,156,High,NPK,49.4,25,80.4
29.5,77,52,Red,Tomato,129,74,97,8.1,285,Medium,NPK,58.1,30,113.6
21.3,46,66,Sandy,Groundnut,59,37,61,6.9,275,Medium,MOP,47.5,12,93.5
33.1,82,56,Black,Soybean,81,24,36,7.5,131,Low,MOP,36.2,18,94.1
28.8,76,34,Sandy,Groundnut,139,75,69,7.6,87,High,MOP,34.1,16,70.8
36.8,73,54,Clayey,Pulses,159,68,67,5.5,56,Low,DAP,41.3,13,93.7
36.7,38,30,Clayey,Wheat,160,62,75,7.6,197,Medium,DAP,59.6,19,76.8
28.6,58,23,Clayey,Cotton,116,65,83,7.0,271,High,NPK,58.9,26,78.6
25.2,58,63,Black,Rice,152,25,78,5.8,308,Medium,NPK,66.1,9,92.4
21.8,87,68,Sandy,Groundnut,129,57,70,5.6,55,Medium,MOP,27.5,14,112.6
21.6,70,55,Red,Groundnut,56,57,73,6.0,155,Medium,Urea,66.8,16,87.2
29.8,44,70,Loamy,Soybean,105,48,90,7.9,177,High,Potash,41.7,11,76.0
27.6,38,38,Clayey,Tomato,67,63,99,7.1,209,Low,Potash,32.2,22,86.8
37.8,60,39,Red,Tomato,151,78,39,7.2,80,High,NPK,56.5,27,93.2
23.2,54,24,Red,Groundnut,61,26,56,5.4,339,Medium,Urea,88.4,7,103.3
36.6,63,21,Red,Maize,54,34,95,6.8,153,Low,DAP,57.1,11,76.7
30.8,86,26,Sandy,Cotton,156,34,48,7.5,271,Medium,Potash,40.5,35,96.9
23.6,49,31,Sandy,Groundnut,94,55,81,7.6,328,High,MOP,54.6,13,83.8
20.5,54,57,Red,Cotton,95,73,82,6.9,118,High,Potash,33.8,23,92.3
33.2,67,28,Red,Wheat,148,31,79,7.5,211,High,NPK,63.4,9,71.9
30.4,61,67,Sandy,Wheat,145,65,79,7.9,73,Medium,Urea,58.8,20,119.6
23.7,87,27,Sandy,Soybean,146,76,51,5.7,148,High,14-35-14,48.3,7,71.1
33.1,73,54,Red,Tomato,148,63,89,7.5,254,High,NPK,65.2,23,78.3
22.9,39,59,Clayey,Maize,89,38,85,6.1,189,Medium,10-26-26,42.9,17,75.8
36.2,64,56,Clayey,Rice,54,80,37,5.6,239,Medium,Urea,96.2,20,100.1
30.5,45,49,Clayey,Cotton,128,48,50,7.6,298,Low,NPK,50.4,21,69.4
33.2,54,48,Red,Wheat,115,62,85,5.5,313,Medium,NPK,54.9,15,101.0
31.4,42,52,Loamy,Wheat,78,66,57,5.9,241,Medium,DAP,66.9,17,72.2
29.2,88,59,Red,Maize,63,55,98,6.3,237,High,DAP,78.0,7,80.8
21.0,48,45,Sandy,Cotton,60,35,83,5.5,180,Low,Potash,29.3,33,76.0
28.4,46,57,Loamy,Soybean,126,67,53,6.2,249,High,Potash,44.9,8,79.9
31.4,41,49,Red,Rice,139,23,36,7.2,304,Low,Urea,80.2,14,92.2
22.0,61,45,Clayey,Rice,134,35,53,8.0,344,Medium,Urea,82.5,10,111.7
37.8,79,51,Black,Soybean,63,42,38,5.3,102,Medium,MOP,42.8,20,99.8
25.9,50,36,Black,Pulses,99,38,96,5.9,193,Low,10-26-26,36.8,15,76.0
21.0,76,31,Clayey,Rice,103,28,94,5.4,201,Medium,Urea,76.2,12,103.4
30.5,80,34,Clayey,Soybean,131,45,35,7.4,264,Low,MOP,39.6,8,78.8
37.6,38,65,Clayey,Cotton,81,59,95,6.2,306,Medium,NPK,65.8,28,86.1
20.2,61,39,Red,Maize,130,33,60,6.0,88,Medium,DAP,46.9,7,86.7
24.9,45,69,Loamy,Sugarcane,96,71,38,8.1,296,Medium,Urea,84.8,22,98.9
24.6,64,67,Red,Maize,154,35,88,6.0,173,High,DAP,58.6,9,93.0
29.7,76,55,Clayey,Maize,83,24,68,7.5,271,Medium,10-26-26,49.8,15,100.5
28.7,47,33,Red,Groundnut,52,32,67,5.9,136,Medium,Urea,77.5,12,86.3
33.5,36,55,Red,Rice,55,43,37,7.0,278,Medium,Urea,89.2,8,76.7
21.0,35,36,Loamy,Tomato,83,37,92,6.1,212,Medium,10-26-26,40.9,30,79.7
30.9,81,36,Clayey,Tomato,96,47,50,5.8,74,High,Potash,35.2,33,65.4
25.0,71,63,Loamy,Groundnut,149,38,58,7.5,275,High,MOP,52.4,20,67.0
26.7,40,36,Loamy,Rice,132,20,39,6.8,57,Medium,Urea,58.1,11,63.5
34.1,85,41,Black,Cotton,70,43,60,6.8,184,Medium,Potash,38.4,33,87.6
36.5,89,26,Clayey,Wheat,125,74,47,6.2,279,Medium,DAP,74.1,10,114.9
28.7,81,55,Red,Cotton,157,31,98,6.8,179,Low,Potash,33.4,28,89.8
31.5,87,68,Loamy,Sugarcane,150,72,34,7.9,187,Medium,Urea,79.8,25,82.6
37.1,61,41,Black,Groundnut,152,62,58,7.1,286,High,DAP,69.7,9,85.9
26.1,41,41,Loamy,Soybean,119,66,49,7.5,248,Low,Potash,35.7,14,100.1
20.8,48,66,Red,Soybean,63,34,70,7.3,219,Medium,14-35-14,47.1,16,85.3
27.8,63,33,Clayey,Cotton,108,43,42,6.0,185,Low,NPK,52.5,33,78.9
24.2,59,67,Loamy,Sugarcane,68,30,89,6.7,307,Medium,Urea,93.4,21,107.1
30.2,63,53,Clayey,Wheat,125,77,30,8.0,246,High,DAP,81.0,9,65.7
27.0,35,39,Loamy,Tomato,160,51,46,8.0,85,Low,10-26-26,32.2,29,79.7
20.0,57,44,Sandy,Cotton,55,79,79,7.1,323,Low,Potash,36.2,30,109.4
22.0,75,52,Clayey,Sugarcane,132,69,68,6.4,298,Low,Urea,71.7,26,114.8
34.6,45,35,Black,Rice,84,49,85,6.0,169,High,NPK,63.8,14,66.0
28.2,72,61,Sandy,Pulses,63,30,61,6.9,179,Medium,DAP,66.4,12,89.6
32.7,66,48,Black,Tomato,60,57,73,8.1,53,High,NPK,52.9,27,69.3
31.6,38,20,Clayey,Pulses,67,72,88,6.1,244,Low,DAP,57.2,8,72.1
33.7,69,34,Loamy,Tomato,127,26,56,8.2,332,Medium,10-26-26,57.6,27,96.4
29.0,85,31,Clayey,Rice,109,50,49,6.6,279,Low,Urea,74.9,17,97.9
31.6,74,20,Black,Groundnut,66,21,72,6.4,350,Medium,DAP,89.0,8,104.1
36.6,58,63,Black,Pulses,70,72,73,6.5,294,Low,10-26-26,50.4,8,90.1
30.4,84,43,Clayey,Rice,143,69,60,6.1,153,High,Urea,68.4,14,93.9
24.2,48,59,Loamy,Sugarcane,110,35,73,6.7,265,High,Urea,92.1,25,78.5
21.6,48,55,Clayey,Maize,62,49,95,7.5,71,Medium,10-26-26,32.4,8,74.7
21.5,48,57,Red,Cotton,156,20,99,5.9,70,Low,Potash,26.7,30,91.5
28.3,69,67,Loamy,Maize,141,42,48,8.0,242,Low,NPK,53.1,14,99.5
36.6,41,53,Loamy,Groundnut,146,55,96,6.7,256,Medium,MOP,41.6,16,102.7
31.4,43,29,Loamy,Wheat,93,54,83,8.1,263,High,DAP,76.6,14,85.2
35.0,42,69,Sandy,Rice,135,73,83,5.8,58,Medium,DAP,44.9,17,86.3
33.7,39,60,Sandy,Groundnut,151,59,96,6.1,320,Low,MOP,38.6,11,85.1
37.4,59,52,Sandy,Wheat,139,79,65,5.4,224,High,Urea,93.9,7,79.1
24.3,49,25,Black,Soybean,94,33,34,5.2,65,Medium,MOP,32.9,7,81.3
36.4,55,27,Loamy,Cotton,86,63,38,5.3,279,Low,NPK,56.8,26,107.6
24.6,55,43,Black,Tomato,160,54,49,8.1,257,Medium,NPK,49.4,28,86.9
20.9,39,22,Clayey,Sugarcane,57,30,83,7.2,322,Low,Urea,85.0,20,67.9
28.4,48,52,Sandy,Cotton,124,47,96,7.0,98,Medium,Potash,31.8,29,73.4
21.7,83,58,Sandy,Groundnut,142,35,84,5.7,189,High,MOP,42.6,17,87.1
36.6,87,38,Sandy,Cotton,158,48,70,7.8,77,Low,Potash,27.8,30,80.3
21.1,86,54,Red,Wheat,138,55,81,8.1,234,Medium,NPK,50.0,16,112.6
33.2,53,24,Loamy,Rice,121,24,80,5.5,245,Medium,Urea,74.6,20,78.3
31.1,62,69,Clayey,Soybean,116,43,35,6.8,175,Low,MOP,36.7,12,93.0
31.4,74,50,Loamy,Pulses,86,38,64,8.2,91,High,14-35-14,50.5,17,69.0
35.8,83,39,Loamy,Wheat,147,64,64,6.3,324,Low,DAP,59.4,18,92.0
25.1,59,68,Black,Cotton,88,52,50,6.3,147,Low,Potash,32.5,21,102.3
30.2,73,59,Loamy,Soybean,150,58,89,7.2,101,Low,Potash,26.2,20,106.9
20.8,61,54,Sandy,Rice,152,80,93,7.7,261,Medium,DAP,61.4,9,92.7
23.6,35,48,Black,Soybean,91,33,40,5.8,195,Medium,MOP,37.1,19,93.9
33.0,41,28,Black,Rice,104,64,94,6.3,209,Low,NPK,44.9,18,105.0
22.8,37,62,Loamy,Wheat,148,37,40,7.6,243,Medium,DAP,58.2,19,66.0
22.7,69,24,Sandy,Sugarcane,103,58,93,5.6,276,Medium,Urea,69.2,25,86.1
25.4,62,62,Red,Rice,92,38,68,6.6,134,Medium,Urea,60.8,14,97.2
28.6,43,45,Sandy,Cotton,133,46,72,7.4,50,High,Potash,29.2,33,66.7
35.7,47,31,Red,Cotton,130,45,48,8.1,235,High,Potash,46.1,32,79.4
21.6,44,35,Black,Cotton,85,52,89,5.5,333,Medium,Potash,40.3,23,100.5
34.0,79,43,Black,Cotton,148,54,99,6.2,286,High,Potash,43.1,23,87.9
35.5,48,40,Sandy,Pulses,147,68,51,5.9,152,Medium,DAP,58.2,9,99.0
23.8,68,25,Loamy,Maize,122,53,53,5.8,75,High,NPK,40.7,11,71.0
24.1,79,50,Clayey,Soybean,119,42,58,5.5,190,Medium,MOP,37.9,9,77.0
25.6,80,57,Red,Groundnut,57,48,37,7.3,345,High,Urea,117.9,18,70.6
27.2,65,43,Loamy,Sugarcane,95,77,34,7.6,261,Medium,Urea,77.9,23,109.6
31.7,71,42,Red,Soybean,153,60,91,7.1,247,High,14-35-14,53.9,13,75.0
28.1,68,52,Loamy,Cotton,144,50,63,6.2,162,Low,NPK,40.7,23,91.4
32.4,62,53,Clayey,Soybean,121,26,94,7.4,127,Medium,MOP,37.3,14,76.0
32.4,62,33,Sandy,Groundnut,159,39,33,6.8,298,Medium,MOP,52.7,20,100.9
24.3,62,60,Black,Groundnut,137,79,91,6.6,267,Low,DAP,52.2,15,101.3
23.7,90,55,Black,Pulses,75,38,38,6.8,54,Medium,10-26-26,36.6,14,92.6
24.5,76,55,Black,Groundnut,59,53,87,5.7,311,High,DAP,81.5,20,65.4
22.9,58,50,Clayey,Tomato,124,78,47,7.1,211,High,Potash,36.2,27,71.0
35.0,37,66,Clayey,Tomato,129,53,51,7.9,159,Low,Potash,30.8,23,90.7
35.9,51,43,Black,Cotton,133,43,45,7.4,176,Low,Potash,35.9,22,93.0
27.2,73,69,Black,Wheat,96,33,43,6.8,170,Low,DAP,59.7,9,86.8
28.3,54,21,Clayey,Rice,155,50,88,5.2,281,High,Urea,79.8,10,72.5
27.5,38,49,Clayey,Sugarcane,58,60,98,6.3,170,Medium,Urea,69.5,26,75.1
33.3,68,59,Clayey,Groundnut,135,79,68,7.0,138,Medium,14-35-14,37.2,11,94.9
32.2,53,62,Sandy,Maize,112,28,43,7.8,201,High,NPK,65.4,11,76.3
28.5,80,26,Loamy,Cotton,74,26,84,6.4,93,Low,NPK,40.5,23,95.8
29.7,87,60,Clayey,Cotton,75,28,60,6.8,50,Low,NPK,43.1,20,88.9
36.2,45,21,Clayey,Pulses,93,39,48,7.8,130,High,DAP,74.8,7,65.2
22.6,40,33,Clayey,Soybean,143,77,66,6.6,224,High,MOP,38.2,17,76.5
28.1,75,20,Red,Wheat,92,40,95,5.9,131,Low,NPK,40.1,12,110.1
24.0,48,66,Sandy,Wheat,63,35,67,7.5,218,Low,Urea,63.8,13,90.5
20.9,71,68,Clayey,Maize,57,35,80,7.6,103,Low,10-26-26,33.3,11,104.2
29.5,43,64,Sandy,Groundnut,67,29,55,7.5,122,Medium,MOP,37.6,10,79.2
34.7,70,26,Red,Wheat,160,54,43,6.0,76,High,NPK,49.1,9,73.9
27.3,51,29,Sandy,Maize,123,34,59,7.6,58,Low,NPK,36.3,11,95.9
27.1,89,30,Loamy,Cotton,73,23,73,5.3,289,Medium,NPK,69.6,32,105.1
22.1,53,60,Loamy,Sugarcane,66,70,51,5.3,75,High,Urea,65.6,24,64.2
24.9,53,35,Red,Sugarcane,85,43,57,7.5,230,Medium,10-26-26,47.9,28,93.6
24.6,63,21,Sandy,Sugarcane,77,65,46,5.5,61,Low,Urea,51.6,25,96.4
34.4,87,68,Black,Tomato,90,80,76,6.7,54,High,NPK,51.5,31,69.4
22.1,42,31,Clayey,Sugarcane,100,67,96,6.4,70,Medium,Urea,55.9,23,96.7
22.4,67,67,Black,Sugarcane,152,72,96,8.0,258,Medium,Urea,65.1,34,80.8
36.8,69,40,Loamy,Wheat,84,60,36,6.7,63,Low,DAP,53.1,7,106.0
34.7,85,69,Clayey,Rice,58,55,45,7.1,65,High,Urea,70.5,7,71.1
30.1,41,50,Red,Sugarcane,55,72,87,6.0,281,High,10-26-26,50.3,24,71.0
31.0,49,24,Red,Maize,52,78,87,7.4,68,High,DAP,55.9,7,80.7
22.3,73,41,Sandy,Soybean,149,56,85,7.2,54,Medium,14-35-14,28.5,17,108.7
28.1,64,30,Sandy,Sugarcane,156,58,68,6.4,95,Low,Urea,51.9,24,86.8
24.4,42,60,Red,Maize,57,23,85,7.9,206,Low,DAP,59.3,19,70.3
23.7,38,45,Clayey,Soybean,108,62,54,6.1,168,Low,MOP,33.4,19,70.6
31.3,44,51,Clayey,Pulses,147,31,100,7.4,252,Medium,DAP,66.6,16,84.7
35.2,62,24,Loamy,Maize,75,33,47,6.6,205,High,NPK,72.9,10,82.1
34.8,61,26,Sandy,Wheat,117,50,91,6.1,319,High,Urea,97.5,7,84.1
35.2,84,54,Sandy,Maize,69,77,98,8.0,152,Low,NPK,45.0,9,96.2
26.3,90,23,Black,Maize,60,47,67,6.5,65,Low,Urea,57.4,20,109.0
20.7,43,63,Clayey,Cotton,76,31,47,7.8,257,Low,NPK,54.5,30,88.7
21.3,87,58,Black,Tomato,52,28,53,8.1,198,Medium,NPK,57.7,32,74.1
33.9,50,35,Clayey,Soybean,84,20,36,6.9,81,High,MOP,42.2,17,69.7
25.4,45,44,Loamy,Groundnut,102,49,44,7.1,200,Medium,MOP,40.1,11,98.3
34.9,88,57,Sandy,Tomato,133,68,89,6.7,263,High,NPK,69.7,28,76.5
30.0,83,61,Loamy,Pulses,74,36,36,7.0,268,High,14-35-14,68.1,8,74.1
30.9,80,58,Clayey,Maize,76,29,56,8.0,242,High,10-26-26,59.0,7,61.8
36.9,52,29,Loamy,Cotton,91,50,41,6.2,247,Low,NPK,55.2,27,97.3
21.2,53,38,Sandy,Maize,74,61,32,5.7,162,High,NPK,53.6,14,73.7
36.9,89,43,Clayey,Tomato,148,66,56,6.7,329,Medium,Potash,43.0,20,102.2
32.1,63,35,Loamy,Tomato,111,63,33,7.7,225,High,10-26-26,55.2,32,71.9
32.3,37,23,Black,Maize,140,35,60,7.9,219,Low,Urea,75.6,11,77.7
33.8,86,29,Loamy,Maize,142,56,84,7.3,281,Medium,NPK,54.8,18,101.3
33.7,40,50,Red,Wheat,153,52,53,6.4,182,Low,NPK,43.4,20,84.7
29.4,65,37,Black,Soybean,71,78,54,5.6,280,Medium,MOP,44.7,15,78.3
21.0,47,22,Sandy,Rice,131,32,53,7.1,251,Low,DAP,58.1,20,77.1
36.0,62,27,Clayey,Maize,54,52,35,8.2,200,Medium,10-26-26,44.9,20,91.1
22.4,35,33,Sandy,Soybean,149,32,39,8.1,50,Medium,14-35-14,33.5,11,89.9
32.0,74,69,Loamy,Maize,104,31,71,5.4,267,High,NPK,62.3,13,63.5
21.9,35,56,Loamy,Sugarcane,102,60,45,7.1,262,High,Urea,87.8,28,59.4
32.6,78,46,Sandy,Sugarcane,142,47,89,6.1,301,High,Urea,84.6,24,72.5
20.6,48,22,Black,Sugarcane,54,27,32,7.5,279,Low,Urea,84.1,23,86.8
33.8,82,59,Black,Cotton,134,78,87,5.7,330,Low,Potash,39.0,23,119.6
29.8,73,41,Red,Cotton,153,34,79,6.6,251,Medium,Potash,37.7,35,107.7
27.3,71,63,Black,Maize,92,63,35,5.3,72,High,Urea,72.4,20,64.5
29.1,53,67,Loamy,Wheat,130,43,82,7.4,159,High,DAP,55.5,16,72.5
33.0,63,26,Loamy,Wheat,158,27,78,8.1,248,High,DAP,80.7,20,83.4
27.1,68,33,Black,Rice,85,67,97,5.6,264,Low,NPK,54.6,11,114.4
24.0,57,41,Loamy,Soybean,56,59,42,5.4,250,Low,Potash,37.2,12,74.1
23.2,49,48,Loamy,Rice,54,79,43,5.5,222,Medium,Urea,74.8,11,67.1
33.5,82,40,Sandy,Cotton,59,57,63,7.9,52,Low,Potash,30.6,21,80.7
20.6,51,53,Loamy,Rice,154,30,49,7.8,278,Low,Urea,76.9,10,90.8
30.8,41,54,Loamy,Sugarcane,148,69,99,5.8,52,High,Urea,62.2,35,69.3
23.8,67,39,Red,Sugarcane,129,21,82,6.3,101,High,10-26-26,37.1,22,82.4
37.8,55,30,Sandy,Soybean,83,50,67,6.6,346,Low,14-35-14,49.7,10,108.2
26.9,57,24,Black,Soybean,138,31,45,7.7,147,Medium,MOP,39.0,18,93.2
28.8,59,32,Sandy,Tomato,155,39,61,6.2,299,High,NPK,67.0,28,67.0
26.4,39,45,Black,Soybean,89,62,68,5.6,90,Low,MOP,28.1,10,91.1
24.5,40,40,Clayey,Sugarcane,102,45,35,7.9,125,Low,Urea,63.8,33,84.2
31.7,67,24,Red,Pulses,138,74,74,6.8,251,Low,MOP,36.3,13,94.6
34.1,69,33,Clayey,Groundnut,119,75,38,7.9,57,Medium,14-35-14,40.9,10,107.5
24.8,57,28,Red,Pulses,146,76,67,7.1,175,Medium,MOP,34.2,15,103.6
21.5,45,53,Clayey,Maize,156,35,38,7.0,150,Medium,10-26-26,35.2,16,86.4
20.7,39,68,Red,Wheat,140,29,71,8.0,89,Low,NPK,36.6,7,77.5
30.6,63,51,Black,Wheat,99,30,66,7.1,307,High,DAP,76.6,9,88.9
30.8,75,61,Clayey,Tomato,117,47,97,8.0,290,High,Potash,44.6,27,73.3
33.3,58,54,Loamy,Sugarcane,139,53,53,7.9,303,Medium,Urea,88.5,23,108.1
32.5,81,26,Black,Pulses,75,54,99,7.8,346,Low,10-26-26,51.7,18,102.4
34.9,65,69,Clayey,Groundnut,114,65,74,5.3,56,Medium,14-35-14,33.0,11,105.4
22.9,70,31,Loamy,Soybean,101,41,63,8.0,194,Low,Potash,33.6,16,93.3
29.9,80,40,Red,Cotton,89,51,97,7.2,289,Low,Potash,36.3,26,111.2
33.6,37,37,Red,Cotton,67,47,40,5.3,113,Medium,Potash,36.7,25,81.5
23.7,57,30,Sandy,Cotton,74,22,97,6.1,131,Low,Potash,30.6,31,95.0
27.7,64,54,Sandy,Wheat,124,51,51,5.3,230,High,Urea,84.6,7,91.6
33.7,68,30,Loamy,Wheat,109,47,73,7.9,236,Medium,DAP,66.7,19,100.0
35.5,45,54,Sandy,Tomato,104,48,99,5.4,286,Low,NPK,58.6,26,86.5
35.8,60,29,Sandy,Cotton,140,62,71,5.7,82,Low,Potash,28.3,27,119.4
20.7,75,55,Sandy,Sugarcane,76,68,62,6.7,61,High,Urea,65.0,26,66.8
34.2,48,35,Red,Groundnut,53,58,82,7.6,270,Low,Urea,73.4,17,97.3
35.0,66,27,Black,Soybean,130,59,68,5.4,321,High,MOP,52.7,9,75.8
32.6,37,31,Loamy,Groundnut,132,61,66,7.6,139,High,MOP,43.6,11,69.7
33.4,72,22,Black,Sugarcane,55,45,52,5.9,282,Low,Urea,85.5,22,94.5
37.3,42,58,Red,Tomato,111,66,32,6.7,335,High,NPK,76.0,28,64.0
35.3,75,64,Black,Sugarcane,82,48,65,6.3,254,Low,Urea,80.3,23,92.8
25.7,54,36,Loamy,Groundnut,122,69,68,5.9,182,Medium,MOP,36.1,12,93.4
32.1,54,39,Loamy,Sugarcane,133,71,81,5.6,235,Medium,Urea,76.0,22,96.2
33.1,70,54,Sandy,Tomato,102,21,35,6.1,257,High,NPK,74.8,34,70.7
21.8,72,25,Red,Sugarcane,58,69,93,7.3,315,High,10-26-26,55.1,33,64.8
37.2,48,42,Clayey,Maize,142,65,81,8.2,158,Medium,10-26-26,39.0,12,74.0
37.1,60,27,Black,Groundnut,56,70,70,5.8,116,High,DAP,60.8,18,83.4
22.5,71,58,Black,Tomato,50,70,46,5.7,278,High,NPK,64.0,23,78.2
33.9,45,61,Loamy,Tomato,76,37,41,8.0,53,High,10-26-26,41.0,30,67.3
26.7,86,29,Clayey,Sugarcane,73,55,50,6.5,215,High,Urea,85.2,35,68.2
27.8,45,32,Loamy,Maize,90,24,46,6.6,191,High,NPK,70.3,7,57.2
21.0,61,55,Black,Soybean,121,31,37,7.3,119,Medium,MOP,37.5,17,105.4
21.3,79,52,Loamy,Wheat,64,51,100,7.1,65,Medium,DAP,44.8,8,78.1
21.8,62,29,Clayey,Pulses,65,76,66,7.4,298,Low,DAP,57.7,18,102.6
33.2,46,22,Loamy,Cotton,131,50,81,6.4,113,High,NPK,48.2,21,79.8
27.3,62,20,Red,Rice,150,41,69,6.1,218,Low,Urea,68.1,11,87.8
35.0,71,46,Clayey,Cotton,141,20,91,7.1,204,High,NPK,61.2,34,69.2
25.3,63,33,Clayey,Cotton,86,71,92,6.7,226,Medium,NPK,47.3,34,113.0
29.8,50,65,Red,Pulses,148,76,54,5.6,180,Medium,MOP,35.5,16,82.9
24.8,84,35,Sandy,Tomato,89,75,38,6.2,292,High,NPK,71.4,22,69.4
37.1,46,42,Red,Pulses,87,39,45,7.5,114,Medium,MOP,37.5,13,87.3
20.9,67,21,Clayey,Sugarcane,112,67,53,7.2,345,Low,Urea,70.9,26,99.5
21.6,52,64,Sandy,Groundnut,60,20,66,7.0,135,High,MOP,43.5,8,65.8
32.8,87,20,Loamy,Maize,60,29,72,7.0,244,Low,NPK,58.2,13,88.2
23.1,81,68,Black,Maize,54,57,62,6.7,219,Low,Urea,61.0,19,74.4
26.3,46,57,Red,Groundnut,110,55,87,6.7,294,High,Urea,95.6,12,70.3
29.7,89,32,Black,Soybean,118,55,94,7.0,248,Low,MOP,39.0,16,112.5
34.3,77,59,Loamy,Sugarcane,159,37,88,6.8,54,High,Urea,73.6,26,87.4
31.6,69,68,Black,Groundnut,129,56,71,6.3,52,High,DAP,52.5,12,78.3
29.5,38,40,Red,Sugarcane,94,20,55,7.0,176,Medium,10-26-26,40.8,22,64.5
29.4,83,68,Clayey,Sugarcane,72,52,42,5.2,193,Low,Urea,70.7,22,89.4
30.7,58,66,Loamy,Pulses,100,35,76,6.4,165,High,14-35-14,55.1,14,66.8
20.6,47,60,Clayey,Pulses,69,48,87,7.1,301,Medium,DAP,60.1,8,86.0
35.7,46,27,Sandy,Pulses,86,67,46,7.7,79,Low,DAP,45.9,16,99.6
37.9,37,47,Loamy,Maize,107,43,94,7.3,120,High,NPK,51.4,9,63.7
31.6,50,70,Black,Tomato,72,57,62,6.5,199,High,NPK,60.3,28,90.7
35.6,70,39,Loamy,Soybean,127,44,30,6.1,303,Medium,Potash,44.7,10,80.6
20.5,69,47,Clayey,Rice,95,38,56,6.9,165,High,Urea,74.6,7,79.7
34.2,39,36,Clayey,Sugarcane,55,68,95,7.9,316,Medium,Urea,94.1,35,94.8
32.8,76,22,Loamy,Tomato,160,34,31,5.8,77,Medium,10-26-26,42.4,20,98.7
25.8,65,70,Black,Pulses,148,23,70,6.9,185,Low,10-26-26,33.9,8,98.2
22.7,79,53,Clayey,Groundnut,135,43,81,6.2,76,Medium,14-35-14,32.4,11,99.8
22.6,72,56,Loamy,Tomato,52,54,33,6.1,173,Medium,10-26-26,40.6,22,80.0
22.5,71,51,Red,Groundnut,111,45,69,7.2,235,Medium,Urea,71.2,14,79.9
33.4,83,53,Loamy,Sugarcane,72,75,74,7.2,181,Medium,Urea,69.5,22,113.0
27.7,90,47,Clayey,Wheat,159,53,75,7.6,162,High,DAP,54.3,10,83.3
29.5,35,51,Sandy,Soybean,141,48,60,6.6,182,Medium,14-35-14,41.8,10,93.7
